product_id,product_name,brand,category,tier,unit_price,units_sold,revenue,return_pct,avg_rating,discount_pct
KP1016,Lawn Mower Electric,Veld,Garden & Pool,premium,1036.24,491268,487562347.0,2.31,4.6,4.2
KP1046,Vacuum Cleaner Bagless,Hearth,Home & Kitchen,premium,809.21,343021,272198607.0,3.15,4.7,1.9
KP1067,Kids Scooter 3-Wheel,SpeedToy,Toys,mid,283.44,942667,251599383.0,5.02,4.6,5.8
KP1002,Wireless Earbuds Pro,SonicWave,Electronics,mid,591.77,368108,207300603.0,11.76,4.1,4.8
KP1027,Sleeping Bag -5°C,Veld,Sport & Outdoor,mid,472.67,414847,190461236.0,6.18,4.4,2.9
KP1032,Dash Cam Full HD,Voltiq,Automotive,mid,380.29,442541,153738560.0,7.69,4.3,8.6
KP1072,Running Sneakers,Stride,Fashion,mid,195.24,727781,132362446.0,10.83,3.9,6.8
KP1051,Baby Stroller 3-in-1,LittleOnes,Baby,premium,634.3,213049,130180013.0,6.53,4.2,3.7
KP1007,Smartwatch Fit,Nexa,Electronics,mid,538.88,234806,115572908.0,6.37,4.5,8.7
KP1004,"Laptop 15"" i5",Vortex,Electronics,premium,1083.01,109899,113691415.0,11.07,4.3,4.5
KP1005,Power Bank 20000mAh,Voltiq,Electronics,budget,260.27,441093,109104881.0,10.4,4.3,5.0
KP1094,Makeup Palette,GlowUp,Beauty,mid,173.98,661166,108410244.0,3.65,4.4,5.8
KP1023,Yoga Mat Pro,FlexFit,Sport & Outdoor,budget,231.33,506019,107386294.0,8.52,4.6,8.3
KP1050,Storage Container Set,Hearth,Home & Kitchen,budget,181.83,577730,98147099.0,6.58,4.3,6.6
KP1056,Feeding Bottle Set,TenderCare,Baby,budget,135.27,723330,91696809.0,8.57,4.3,6.3
KP1087,Pet Carrier,PawNutrition,Pet Supplies,mid,224.97,421953,86033726.0,2.96,4.5,9.4
KP1116,Chocolate Gift Hamper,Karoo Pantry,Groceries,premium,278.5,321035,84054307.0,0.55,4.6,6.0
KP1040,Windscreen Sun Shade,DriveLux,Automotive,budget,200.67,430079,78192846.0,7.6,4.4,9.4
